0.1528 0.474 0.6689 0.0735
0.1888 0.473 0.6350 0.0690
0.2285 0.464 0.4460 0.0512
0.2405 0.470 0.4336 0.0498
0.3475 0.467 0.1920 0.0211
0.2046 0.481 0.5743 0.0630
0.2150 0.481 0.5368 0.0590
0.2285 0.464 0.4460 0.0512
0.1254 0.520 0.7260 0.0790
0.1553 0.517 0.7750 0.0852
0.2076 0.524 0.4820 0.0520
0.2218 0.504 0.6970 0.0766
0.2939 0.525 0.3807 0.0418
0.3317 0.524 0.3287 0.0361
0.0819 0.532 0.9082 0.0999
0.1260 0.535 0.6616 0.0727
0.1428 0.531 0.9717 0.1060
0.2369 0.524 0.5597 0.0615
0.0629 0.532 0.8510 0.0936
